# quat,tx,ty,tz,qw,qx,qy,qz
quat,-3.67107,-5.49752,0.043812,0.692615,0.167608,0.170991,-0.680408
quat,-3.7024,-5.52935,0.0492063,0.693556,0.148714,0.17099,-0.683832
quat,-3.72376,-5.55102,0.0539768,0.694524,0.136813,0.172318,-0.685
quat,-3.73587,-5.56219,0.0573294,0.695386,0.133456,0.174559,-0.68422
quat,-3.73682,-5.56243,0.0592038,0.696599,0.139205,0.176455,-0.681348
quat,-3.72706,-5.55303,0.0620913,0.69809,0.154786,0.176856,-0.676338
quat,-3.7103,-5.53933,0.0645818,0.699528,0.175996,0.175101,-0.670094
quat,-3.69185,-5.52807,0.0660026,0.700768,0.20056,0.171553,-0.662774
quat,-3.68531,-5.52931,0.0604874,0.70155,0.213045,0.169262,-0.658627
quat,-3.69253,-5.54591,0.0442907,0.702154,0.215732,0.168147,-0.657393
quat,-3.80089,-5.67851,-0.0333051,0.697897,0.166546,0.168699,-0.675827
quat,-3.84289,-5.72012,-0.0476157,0.695969,0.150926,0.171939,-0.680651
quat,-3.90087,-5.77654,-0.0595334,0.694655,0.139748,0.18202,-0.681758
quat,-3.91252,-5.79826,-0.0644715,0.695122,0.142636,0.184497,-0.680015
quat,-3.97446,-6.06562,-0.242217,0.693951,0.146147,0.180434,-0.681555
quat,-3.97543,-6.1076,-0.240104,0.696546,0.138058,0.170767,-0.683083
quat,-3.84596,-6.44429,-0.121899,0.704443,0.152966,0.145761,-0.67758
quat,-3.89098,-6.46546,-0.0638779,0.689119,0.18891,0.199379,-0.670579
quat,-3.8708,-6.52373,-0.0687751,0.695425,0.187169,0.173266,-0.671811
quat,-3.85867,-6.59574,-0.0617991,0.702539,0.180919,0.1433,-0.673181
quat,-3.88896,-6.68467,-0.0342711,0.704979,0.166338,0.124613,-0.678091
quat,-3.91915,-6.69738,-0.0254808,0.701094,0.16252,0.133707,-0.681305
quat,-3.95999,-6.69497,-0.0213864,0.693619,0.161809,0.152766,-0.685108
quat,-3.99695,-6.68348,-0.0207102,0.685953,0.164627,0.172251,-0.687529
quat,-4.0316,-6.66958,-0.0208791,0.678753,0.170561,0.190095,-0.688526
quat,-4.06038,-6.66234,-0.0213086,0.673981,0.177661,0.202284,-0.687944
quat,-4.08309,-6.67399,-0.0216775,0.672729,0.18263,0.205199,-0.687005
quat,-4.09553,-6.70188,-0.0219743,0.674213,0.181295,0.199581,-0.687559
quat,-4.10498,-6.74188,-0.0220532,0.675884,0.17472,0.189806,-0.690382
quat,-4.11192,-6.79274,-0.0195474,0.677443,0.163379,0.177076,-0.694998
quat,-4.20423,-6.90312,0.0541561,0.661245,0.181598,0.181159,-0.704953
quat,-4.2724,-6.99602,-0.0274553,0.657938,0.177079,0.168952,-0.712191
quat,-4.27855,-7.00757,-0.0449812,0.6555,0.183819,0.172668,-0.71184
quat,-4.28328,-7.02969,-0.0664111,0.653646,0.186073,0.174004,-0.712633
quat,-4.28613,-7.0595,-0.0878415,0.65333,0.184372,0.171361,-0.714004
quat,-4.28768,-7.09463,-0.107769,0.653867,0.181766,0.166227,-0.715393
quat,-4.38424,-7.52825,-0.257007,0.653606,0.157046,0.158468,-0.723204
